Month,Title,Author,Advocate
"JUL 2019","The White Darkness","David Grann","JP"
"AUG 2019","Purple Hibiscus: A Novel","Chimamanda Ngozi Adichie","SH"
"SEP 2019","The House of the Spirits","Isabel Allende","MA"
"OCT 2019","The Man Who Planted Trees","Jim Robbins","KC"
"JAN 2020","The Gentle Art of Swedish Death Cleaning...","Margareta Magnusson","CF"
"FEB 2020","The Overstory: A Novel","Richard Powers","BS"
"MAR 2020","Sapiens: A Brief History of Humankind","Yuval Noah Harari","DC"
"MAY 2020","My Ántonia","Willa Cather","JP"
"JUL 2020","Fun Home","Alison Bechdel","MA"
"AUG 2020","Amusing Ourselves to Death","Neil Postman","KC"
"OCT 2020","The Heart Goes Last","Margaret Atwood","SH"
"NOV 2020","The Nickel Boys","Colson Whitehead","BS"
