"Title","Author","Type","Year","Month","Notes"
"Endurance","?","?","2021","March",""
"Bitter Brew","Knoedelseder William","NONF","2021","February",""
"The Midnight Library","Haig Matt","FICT","2020","December",""
"The Sundown Motel","St. James Simone","FICT","2020","November",""
"The Night Watchman","Erdrich Louise","FICT","2020","October",""
"A Face Like Glass","Hardinge Frances","FICT","2020","August",""
"Red at the Bone","Woodson Jacqueline","FICT","2020","July",""
"Play it As it Lays","Didion Joan","FICT","2020","June",""
"The Rent Collector","Wright Camron","FICT","2020","May",""
"Disappearing Earth","Phillips Julia","FICT","2020","April",""
"The Cracks in our Armor","Gavalda Anna","FICT","2020","March",""
"The 7 ½ Deaths of Evelyn Hardcastle","Turton Stuart","FICT","2020","January",""
"The Honey Bus","May Meredith","NONF","2019","December",""
"The Book of Essie","MacLean Weir Meghan","FICT","2019","October",""
"My Sister, the Serial Killer","Braithwaite Oyinkan","FICT","2019","August",""
"The Storied Life of A.J. Fikry","Gabrielle Zevin","FICT","2019","July",""
"The Girl with Seven Names","John David,Hyeon-seo Lee","NONF","2019","June",""
"Bowlaway","McCracken Elizabeth","FICT","2019","May",""
"People of the Book","Brooks Geraldine","FICT","2019","March",""
"She Would Be King","Moore Wayetu","FICT","2019","February",""
"The Yonahlossee Riding Camp for Girls","DiSclafani Anton","FICT","2019","January",""
"Under the Banner of Heaven","Krakauer Jon","NONF","2018","November",""
"Beartown","Backman Fredrik","FICT","2018","October",""
"Telegraph Avenue","Chabon Michael","FICT","2018","September",""
"The Golem and the Jinni","Wecker Helene","FICT","2018","July",""
"The Female Persuasion","Wolitzer Meg","FICT","2018","June",""
"A Gentleman in Moscow","Towles Amor","FICT","2018","May",""
"Sing, Unburied, Sing","Ward Jesmyn","FICT","2018","February",""
"The Power","Alderman Naomi","FICT","2018","January",""
"Goodbye, Vitamin","Khong Rachel","FICT","2017","December",""
"Little Fires Everywhere","Ng Celeste","FICT","2017","November",""
"Geek Love","Dunn Katherine","FICT","2017","September",""
"Lincoln in the Bardo","Saunders George","FICT","2017","August",""
"The Animators","Whitaker Kayla Rae","FICT","2017","June",""
"Arcadia","Groff Lauren","FICT","2017","May",""
"Commonwealth","Patchett Ann","FICT","2017","April",""
"Swing Time","Smith Zadie","FICT","2017","March",""
"The Believers","Heller Zoë","FICT","2017","January",""
"A Man Called Ove","Backman Fredrik","FICT","2016","December",""
"Hillbilly Elegy","Vance J. D.","NONF","2016","November",""
"In the Shadow of the Banyan","Ratner Vaddey","FICT","2016","October",""
"On the Move: A Life","Sacks Oliver","NONF","2016","August",""
"A Manual for Cleaning Women: Selected Stories","Berlin Lucia","FICT","2016","July",""
"Disgrace","Coetzee J. M.","FICT","2016","June",""
"Orphan Train","Baker Kline Christina","FICT","2016","April",""
"The Light Between Oceans","Stedman M.L.","FICT","2016","March",""
"Selfish, Shallow, and Self-Absorbed: 16 Writers on Not Having Children","Daum Meghan","NONF","2016","February",""
"The Rosie Project","Simsion Graeme","FICT","2016","January",""
"Fun Home","Bechdel Alison","NONF","2015","December",""
"Between The World and Me","Coates Ta-Nehisi","NONF","2015","November",""
"The Boys in the Boat","Brown Daniel James","NONF","2015","October",""
"How to Build a Girl","Moran Caitlin","FICT","","","date unknown - August 2015?"
"Breaking In: The Rise of Sonia Sotomayor and the Politics of Justice","Biskupic Joan","NONF","","","date unknown"
"Loving Frank","Horan Nancy","FICT","","","date unknown"
"The Paying Guests","Waters Sarah","FICT","","","date unknown"
"All The Light We Cannot See","Doerr Anthony","FICT","","","date unknown"
