Date,Mileage,Diff
01-JUN-2022,129957,215
01-MAY-2022,129742,197
01-APR-2022,129545,266
01-MAR-2022,129279,217
01-FEB-2022,129062,250
01-JAN-2022,128812,375
01-DEC-2021,128437,733
01-NOV-2021,127704,452
01-OCT-2021,127252,502
01-SEP-2021,126749,473
01-AUG-2021,126276,217
01-JUL-2021,126059,460
01-JUN-2021,125599,286
01-MAY-2021,125313,267
01-APR-2021,125046,195
01-MAR-2021,124851,202
01-FEB-2021,124649,270
01-JAN-2021,124379,470
01-DEC-2020,123909,558
01-NOV-2020,123351,300
01-OCT-2020,123051,283
01-SEP-2020,122768,442
01-AUG-2020,122326,339
01-JUL-2020,121987,244
01-JUN-2020,121743,246
01-MAY-2020,121497,33
01-APR-2020,121464,327
01-MAR-2020,121137,508
01-FEB-2020,120629,579
01-JAN-2020,120050,845
01-DEC-2019,119205,793
01-NOV-2019,118412,541
01-OCT-2019,117871,571
01-SEP-2019,117300,934
01-AUG-2019,116366,600
01-JUL-2019,115766,469
01-JUN-2019,115297,387
01-MAY-2019,114910,304
01-APR-2019,114606,477
01-MAR-2019,114129,400
01-FEB-2019,113729,421
01-JAN-2019,113308,586
01-DEC-2018,112722,478
01-NOV-2018,112244,407
01-OCT-2018,111837,477
01-SEP-2018,111360,498
01-AUG-2018,110862,374
01-JUL-2018,110488,860
01-JUN-2018,109628,517
01-MAY-2018,109111,446
01-APR-2018,108665,368
01-MAR-2018,108297,375
01-FEB-2018,107922,490
01-JAN-2018,107432,1749
01-DEC-2017,105683,382
01-NOV-2017,105301,257
01-OCT-2017,105044,195
01-SEP-2017,104849,203
01-AUG-2017,104646,385
01-JUL-2017,104261,789
01-JUN-2017,103472,305
01-MAY-2017,103167,358
01-APR-2017,102809,293
01-MAR-2017,102516,231
01-FEB-2017,102285,329
01-JAN-2017,101956,633
01-DEC-2016,101323,344
01-NOV-2016,100979,615
01-OCT-2016,100364,357
01-SEP-2016,100007,317
01-AUG-2016,99690,557
01-JUL-2016,99113,1095
01-JUN-2016,98018,419
01-MAY-2016,97599,976
01-APR-2016,96623,304
01-MAR-2016,96319,263
01-FEB-2016,96056,289
01-JAN-2016,95767,599
01-DEC-2015,95168,443
01-NOV-2015,94725,515
