"Date","Run","Bike","Swim","Weight","Notes"
"1/4/2009","2","","","",""
"1/17/2009","3","","0","",""
"1/18/2009","6","","1000","",""
"1/20/2009","","","750","",""
"1/25/2009","7","","1600","",""
"2/1/2009","3","","500","","west county Y"
"2/3/2009","","","1000","",""
"2/4/2009","3","","","",""
"2/7/2009","3","","400","","JCC short"
"2/8/2009","5","","750","","JCC long"
"2/14/2009","","","1600","",""
"2/15/2009","9","","","","6.8 mph, slow but steady"
"2/18/2009","2","","","","int 9, 2.5, 2, 1.5"
"2/22/2009","3","","500","","Wildwood Y"
"3/15/2009","2","","750","",""
"4/5/2009","3","","","","slow but back"
"4/6/2009","3","","","","29min :-("
"4/7/2009","3","","","","loosened up"
"5/5/2009","3","","","",""
"5/6/2009","","","250","",""
"5/9/2009","3","","","","2 at 7 mph"
"5/10/2009","4","","","","2 walked :-("
"5/13/2009","3","","","","slow"
"6/3/2009","2","","","","comeback v1"
"6/4/2009","4","","","","2 x 2 !"
"6/6/2009","2","","","","easy"
"6/9/2009","4","","","","2 at 6.5"
"6/10/2009","","","750","",""
"6/12/2009","6","","","","stanley cup!"
"6/16/2009","6","","","","cards / detroit"
"6/17/2009","","","750","",""
"6/18/2009","6","","","","1 at 8 mph"
"6/22/2009","6","","","",""
"7/13/2009","3","","","",""
"7/19/2009","7","","",""," "
"7/20/2009","","","750","",""
"7/21/2009","3","","","","1 at 8 mph"
"7/25/2009","4","","",""," "
"7/26/2009","4","","","","very slow"
"7/27/2009","3","","","",""
"7/28/2009","2","","","",""
"8/2/2009","7","","","",""
"8/4/2009","","","500","",""
"8/16/2009","5","","","",""
"8/24/2009","3","","","",""
"8/25/2009","3","","","",""
"8/26/2009","3","","","",""
"9/12/2009","4","","","",""
"9/13/2009","4","","","",""
"9/19/2009","6","","","",""
"9/20/2009","","","1000","",""
"9/22/2009","","","1000","",""
"9/26/2009","4","","","",""
"9/28/2009","4","","","",""
"10/3/2009","6","","","",""
"10/20/2009","3","","","",""
"11/1/2009","10","","1000","",""
"11/3/2009","","","1000","",""
"11/5/2009","3","","","",""
"11/7/2009","3","","200","",""
"11/8/2009","4","","","",""
"11/22/2009","5","","","",""
"11/26/2009","3","","","",""
"11/28/2009","5","","","",""
"11/29/2009","4","","","",""
"12/5/2009","3","","","",""
"12/6/2009","3","","","",""
"12/7/2009","3","","","",""
