"Date","Run","Bike","Swim","Weight"
"1/12","3.5","","","147"
"1/19/2019","4","","","148"
"2/9/2019","3","","","148"
"2/14/2019","1","","",""
"2/21/2019","1","","",""
"2/23/2019","2.2","","","149"
"2/25/2019","2","","","150"
"2/28/2019","1","","",""
"3/2/2019","3","","","150"
"3/5/2019","1.5","","","150"
"3/7/2019","1","","",""
"3/10/2019","3","","","150"
"3/21/2019","1","","",""
"3/23/2019","2","","","151"
"3/24/2019","","","750",""
"3/26/2019","1.5","","","153"
"3/28/2019","3.22","","","153"
"5/25/2019","2.25","","","153"
"6/2","3.5","","","155"
"6/17/2019","2","","","156"
"6/23/2019","3.68","","","156"
"6/26/2019","4.5","","","157"
"6/30/2019","","","750",""
"7/1/2019","4.07","","","157"
"7/4/2019","4.2","","","157"
"7/8/2019","4.73","","","156"
"7/10/2019","0.5","","",""
"7/14/2019","2","","",""
"7/14/2019","","","875",""
"7/18/2019","0.5","","",""
"7/21/2019","3.23","","","157"
"7/23/2019","1","","",""
"7/25/2019","3","","","158"
"7/26/2019","0.5","","",""
"8/1/2019","0.5","","",""
"8/3/2019","3","","","157"
"8/4/2019","","","1000",""
"8/5/2019","0.5","","",""
"8/7/2019","3","","","158"
"8/10/2019","3","","","155"
"8/11/2019","","","950",""
"8/12/2019","0.5","","",""
"8/13/2019","3","","","156"
"8/14/2019","","","750",""
"8/16/2019","","","750",""
"8/17/2019","","","750",""
"8/17/2019","2.2","","","154"
"8/19/2019","","","750",""
"8/21/2019","","","1000",""
"8/25/2019","","","850",""
"8/26/2019","2.5","","","155"
"8/31/2019","2","","","154"
"9/1/2019","","","800",""
"9/7/2019","3","","","155"
"9/12/2019","1","","",""
"9/15/2019","","","900",""
"9/15/2019","3","","","156"
"9/19/2019","1","","",""
"9/21/2019","3","","",""
"9/23/2019","3","","","157"
"9/26/2019","1","","",""
"9/28/2019","3.27","","","157"
"9/29/2019","3","","","159"
"10/1/2019","2.53","","","157"
"10/5/2019","3.18","","","155"
"10/8/2019","3","","","157"
"10/12/2019","3","","","156"
"10/13/2019","","","950",""
"10/20/2019","3.1","","",""
"11/12/2019","2.08","","","159"
"11/14/2019","1","","",""
"11/18/2019","3","","","161"
"11/21/2019","1","","",""
"11/23/2019","2","","","159"
"11/23/2019","1","","","159"
"11/25/2019","2","","","160"
"11/25/2019","1","","","160"
"11/28/2019","1","","",""
"11/30/2019","2","","","159"
"11/30/2019","1","","","159"
"12/5/2019","1","","",""
"12/10/2019","2","","","161"
"12/10/2019","1","","","161"
"12/22/2019","3","","","158"
"12/24/2019","3","","","157"
"12/26/2019","3.5","","","156"
"12/28/2019","3.75","","","157"
"12/30/2019","3.8","","","157"
