"2-Jul","","","1000","",""
"8-Jul","5","18","800","","Mattoon"
"11-Jul","3.7","","750","",""
"16-Jul","3.2","9","300","","Ballwin"
"21-Jul","","","1609","",""
"22-Jul","5.5","","1609","",""
"25-Jul","3.5","","1609","",""
"28-Jul","","","1609","",""
"29-Jul","6","","","","level 5"
"31-Jul","3.5","","1000","","level 6"
"3-Aug","5","","","",""
"4-Aug","","","1000","",""
"5-Aug","3.7","25","","",""
"6-Aug","5","","2000","",""
"9-Aug","","","1600","",""
"12-Aug","4","","450","","Wood Rvr"
"15-Aug","","","2000","",""
"18-Aug","4.1","","1000","",""
"20-Aug","3.1","","300","","O'Fallon"
"23-Aug","","","1000","",""
"24-Aug","7.4","","","",""
"25-Aug","","","400","",""
"26-Aug","3.9","","","",""
"28-Aug","3.75","","","",""
"30-Aug","3.25","","","",""
"2-Sep","6.2","","1500","","Lake StL"
"5-Sep","3.25","","","",""
"9-Sep","2","","","","gr8 bike"
"10-Sep","3.5","","750","",""
"12-Sep","1.5","","750","",""
"14-Sep","3.25","","","",""
"15-Sep","","","","","ok bike"
"20-Sep","","","1600","",""
"23-Sep","3.6","","400","",""
"24-Sep","","","750","",""
"25-Sep","3.6","","1000","",""
"26-Sep","","","750","",""
"29-Sep","2.5","","","",""
"1-Oct","4.8","","500","","RecPlex"
"7-Oct","6.2","","2000","",""
"12-Oct","2","","1600","",""
"14-Oct","2","","1000","",""
"3-Nov","3","","","",""
"4-Nov","","","1000","",""
"7-Nov","3.7","","1000","",""
"11-Nov","6.2","","","",""
"12-Nov","6","","750","",""
"14-Nov","3.5","","750","",""
"18-Nov","3","","1600","",""
"26-Nov","3","","2500","",""
"28-Nov","7","","","",""
"29-Nov","","","1600","",""
"2-Dec","5","","","",""
"3-Dec","","","2150","",""
"6-Dec","6.2","","","",""
"9-Dec","9","","","",""
"10-Dec","","","1000","",""
"11-Dec","5","","","",""
"16-Dec","7.5","","","",""
"17-Dec","","","1000","",""
"22-Dec","3.25","","1000","",""
"20-Dec","2","","","",""
"9-Jan","5","","","",""
"10-Jan","","","1000","",""
"15-Jan","7.5","","","",""
"18-Jan","3","","900","",""
"20-Jan","3","","","",""
"23-Jan","5","8.25","","",""
"25-Jan","3.25","9","500","",""
"27-Jan","3","15","","",""
"28-Jan","3","","1000","",""
"3-Feb","8","13.5","","",""
"4-Feb","","7","1000","",""
"6-Feb","2.25","6","750","",""
"11-Feb","5","18","750","",""
"20-Feb","9","","","",""
"24-Feb","7","","2000","",""
"27-Feb","4","","1600","",""
"4-Mar","5","","1250","",""
"11-Mar","12","","","",""
"12-Mar","","","750","",""
"17-Mar","6","","","",""
"20-Mar","9","","","",""
"23-Mar","15","","","",""
"6-Apr","12","","","",""
"12-Apr","6","","","",""
"20-Apr","13.1","","","",""
"21-Apr","","9","","",""
"22-Apr","","8","1000","",""
"23-Apr","","","1000","",""
"27-Apr","6.5","","","",""
"28-Apr"," ","17","","",""
"1-May","3"," ","","",""
"2-May","2","","","","1.2 @ 9.3mph"
"6-May","7","","1600","","1 @ 9.4 mph"
"11-May","3","","1600","",""
"12-May","","10","","",""
"13-May","","","2500","",""
"14-May","","10","","",""
"17-May","3","","","","1.5 @ 9.5"
"18-May","3","","","","1.25 @ 9.6"
"19-May","","20","","",""
"20-May","","","1500","",""
"22-May","5","","","","1 @ TEN!"
"24-May","6","","","",""
"27-May","3","","1000","",""
"28-May","4","","","","0.5 at ten"
"1-Jun","5","","","","1 @ TEN!"
"13-Jun","6","","750","","1 @ 9.2"
"18-Jun","5","","500","",""
"20-Jun","","","1000","",""
"25-Jun","5","","2000","",""
"27-Jun","9","","","",""
"28-Jun","","","1000","",""
"12-Jul","","","1000","",""
"15-Jul","1","","250","",""
"16-Jul","3.2","","300","",""
"22-Jul","13.1","","","",""
"4-Aug","8.5","","1250","",""
"13-Aug","","","2000","",""
"14-Aug","6","","","","1 @ 9.5"
"15-Aug","5.5","100","","",""
"17-Aug","3","","","",""
"21-Aug","8","","","","0.85 @ 10"
"8-Sep","7.5","","","",""
"9-Sep","5","","","",""
"10-Sep","","","750","",""
"14-Sep","6"," ","500","",""
"7-Oct","5","","500","",""
"22-Oct","5","","","",""
"7-Jan"," ","","750","",""
"8-Jan","3","","","",""
"9-Jan","","","750","",""
"10-Jan","3","","","",""
"11-Jan","","","750","",""
"12-Jan","","10","","",""
"13-Jan","","","750","",""
"14-Jan","3","","","",""
"15-Jan","","","750","",""
"16-Jan","","10","","",""
"17-Jan","","","500","",""
"18-Jan","","11","","",""
"19-Jan","2","7","","",""
"20-Jan","2.5","","","",""
"27-Jan","3","","1250","","bf 9.2"
"3-Feb","5.5","","","",""
"4-Feb","1.5","","750","",""
"9-Feb","2.5","8","400","",""
"10-Feb","5","18","750","",""
"13-Feb","1","","250","",""
"17-Feb","3","12.5","500","",""
"20-Feb","5","","","",""
"24-Feb","3","10","500","",""
"10-Mar","5","","","",""
"6-Apr","3","","","","145 lbs"
"19-Apr","6","","","",""
"20-Apr","","","400","",""
"22-Apr","7","","","",""
"5-May","3","","","",""
"6-May","","","500","",""
"17-May","6","","","",""
"1/4/2009","2","","","",""
"1/17/2009","3","","0","",""
"1/18/2009","6","","1000","",""
"1/20/2009","","","750","",""
"1/25/2009","7","","1600","",""
"2/1/2009","3","","500","","west county Y"
"2/3/2009","","","1000","",""
"2/4/2009","3","","","",""
"2/7/2009","3","","400","","JCC short"
"2/8/2009","5","","750","","JCC long"
"2/14/2009","","","1600","",""
"2/15/2009","9","","","","6.8 mph, slow but steady"
"2/18/2009","2","","","","int 9, 2.5, 2, 1.5"
"2/22/2009","3","","500","","Wildwood Y"
"3/15/2009","2","","750","",""
"4/5/2009","3","","","","slow but back"
"4/6/2009","3","","","","29min :-("
"4/7/2009","3","","","","loosened up"
"5/5/2009","3","","","",""
"5/6/2009","","","250","",""
"5/9/2009","3","","","","2 at 7 mph"
"5/10/2009","4","","","","2 walked :-("
"5/13/2009","3","","","","slow"
"6/3/2009","2","","","","comeback v1"
"6/4/2009","4","","","","2 x 2 !"
"6/6/2009","2","","","","easy"
"6/9/2009","4","","","","2 at 6.5"
"6/10/2009","","","750","",""
"6/12/2009","6","","","","stanley cup!"
"6/16/2009","6","","","","cards / detroit"
"6/17/2009","","","750","",""
"6/18/2009","6","","","","1 at 8 mph"
"6/22/2009","6","","","",""
"7/13/2009","3","","","",""
"7/19/2009","7","","",""," "
"7/20/2009","","","750","",""
"7/21/2009","3","","","","1 at 8 mph"
"7/25/2009","4","","",""," "
"7/26/2009","4","","","","very slow"
"7/27/2009","3","","","",""
"7/28/2009","2","","","",""
"8/2/2009","7","","","",""
"8/4/2009","","","500","",""
"8/16/2009","5","","","",""
"8/24/2009","3","","","",""
"8/25/2009","3","","","",""
"8/26/2009","3","","","",""
"9/12/2009","4","","","",""
"9/13/2009","4","","","",""
"9/19/2009","6","","","",""
"9/20/2009","","","1000","",""
"9/22/2009","","","1000","",""
"9/26/2009","4","","","",""
"9/28/2009","4","","","",""
"10/3/2009","6","","","",""
"10/20/2009","3","","","",""
"11/1/2009","10","","1000","",""
"11/3/2009","","","1000","",""
"11/5/2009","3","","","",""
"11/7/2009","3","","200","",""
"11/8/2009","4","","","",""
"11/22/2009","5","","","",""
"11/26/2009","3","","","",""
"11/28/2009","5","","","",""
"11/29/2009","4","","","",""
"12/5/2009","3","","","",""
"12/6/2009","3","","","",""
"12/7/2009","3","","","",""
"1/13/2010","3","","750","","6.2 avg"
"1/16/2010","3","","","","slow"
"1/17/2010","2.5","","","","slow"
"1/18/2010","2.5","","750","","1 mi at 7 mph"
"1/31/2010","4","","","","bike / slow"
"2/6/2010","2","","750","","bike / slow"
"2/13/2010","5","","500","","long JCC"
"2/14/2010","2.5","","250","","short JCC"
"4/4/2010","3","","","","slow"
"4/5/2010","","","750","",""
"4/11/2010","4","","1000","","about 6 mph"
"4/13/2010","","","1000","",""
"4/14/2010","2","","","","frogs, 7.6"
"4/17/2010","","","500","",""
"5/8/2010","4","","","","JimG, Queeny"
"5/13/2010","3","","","","slow"
"5/16/2010","3","","","","slow"
"6/9/2010","2.5","","","","stress / slow"
"6/20/2010","3","","","","brackley"
"6/26/2010","3","","","","brackley"
"7/3/2010","4","","","","ch mall to ghiz"
"7/4/2010","3","","","","brackley"
"7/11/2010","4","","","","confed trail, rain"
"7/11/2010","","","750","",""
"7/17/2010","5","","","","AFC. 3, boiled 6 -> 7.6"
"8/17/2010","4","","","","Ghiz "
"8/23/2010","5","","","","Ghiz but faded / calves"
"8/30/2010","5","","","","Ghiz - bypass !"
"9/4/2010","6","","","151","AFC. classic"
"9/5/2010","3","","","","Mikinduri"
"9/8/2010","4","","","151","AFC. 2 mi at 7"
"9/11/2010","6","","","","AFC."
"9/14/2010","5","","","151","AFC. 2 mi at 7"
"9/18/2010","2","","","","ADL 1-miler"
"9/19/2010","8","","","","Terry Fox"
"10/3/2010","","","","","Island trails"
"11/6/2010","","","500","","easy"
"11/7/2010","2","","","150","easy "
"11/9/2010","3","","","149","block in 27:42"
"11/13/2010","3","","1000","149","block in 27:12"
"11/16/2010","3","","","148","block 26:42"
"11/20/2010","4","","1200","147","block 27:20"
"11/22/2010","3","","","148","block 26:06"
"11/24/2010","3","","","148","block 24:16"
"11/27/2010","3","","1000","148","block 24:37"
"11/30/2010","3","","","148","block 24:05"
"12/2/2010","2","","","148","reno"
"12/4/2010","3","","750","","block 23:15"
"12/11/2010","3.5","","1000","","30 min stretch"
"1/15/2011","2.5","750","7.2","","20 min bike, 8.4 frog"
"1/22/2011","2","750","10.5","145","30 min bike, 8.0 frog"
"1/26/2011","2.5","","","146","8.6 frog"
